status	method	path_or_expression	source	line
planned	GET	/_ingest/processor/grok	/home/ubuntu/OpenSearch/modules/ingest-common/src/main/java/org/opensearch/ingest/common/GrokProcessorGetAction.java	162
planned	GET	/_msearch/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestMultiSearchTemplateAction.java	75
planned	POST	/_msearch/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestMultiSearchTemplateAction.java	76
planned	GET	/{index}/_msearch/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestMultiSearchTemplateAction.java	77
planned	POST	/{index}/_msearch/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestMultiSearchTemplateAction.java	78
planned	GET	/_render/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestRenderSearchTemplateAction.java	56
planned	POST	/_render/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestRenderSearchTemplateAction.java	57
planned	GET	/_render/template/{id}	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestRenderSearchTemplateAction.java	58
planned	POST	/_render/template/{id}	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestRenderSearchTemplateAction.java	59
planned	GET	/_search/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestSearchTemplateAction.java	68
planned	POST	/_search/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestSearchTemplateAction.java	69
planned	GET	/{index}/_search/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestSearchTemplateAction.java	70
planned	POST	/{index}/_search/template	/home/ubuntu/OpenSearch/modules/lang-mustache/src/main/java/org/opensearch/script/mustache/RestSearchTemplateAction.java	71
planned	GET	/_scripts/painless/_context	/home/ubuntu/OpenSearch/modules/lang-painless/src/main/java/org/opensearch/painless/action/PainlessContextAction.java	215
planned	GET	/_scripts/painless/_execute	/home/ubuntu/OpenSearch/modules/lang-painless/src/main/java/org/opensearch/painless/action/PainlessExecuteAction.java	621
planned	POST	/_scripts/painless/_execute	/home/ubuntu/OpenSearch/modules/lang-painless/src/main/java/org/opensearch/painless/action/PainlessExecuteAction.java	621
planned		"/_opensearch_dashboards" + route.getPath(	/home/ubuntu/OpenSearch/modules/opensearch-dashboards/src/main/java/org/opensearch/dashboards/OpenSearchDashboardsModulePlugin.java	176
planned	GET	"/" + ENDPOINT	/home/ubuntu/OpenSearch/modules/rank-eval/src/main/java/org/opensearch/index/rankeval/RestRankEvalAction.java	112
planned	POST	"/" + ENDPOINT	/home/ubuntu/OpenSearch/modules/rank-eval/src/main/java/org/opensearch/index/rankeval/RestRankEvalAction.java	113
planned	GET	"/{index}/" + ENDPOINT	/home/ubuntu/OpenSearch/modules/rank-eval/src/main/java/org/opensearch/index/rankeval/RestRankEvalAction.java	114
planned	POST	"/{index}/" + ENDPOINT	/home/ubuntu/OpenSearch/modules/rank-eval/src/main/java/org/opensearch/index/rankeval/RestRankEvalAction.java	115
planned	POST	/{index}/_delete_by_query	/home/ubuntu/OpenSearch/modules/reindex/src/main/java/org/opensearch/index/reindex/RestDeleteByQueryAction.java	57
planned	POST	/_reindex	/home/ubuntu/OpenSearch/modules/reindex/src/main/java/org/opensearch/index/reindex/RestReindexAction.java	62
planned	POST	/_update_by_query/{taskId}/_rethrottle	/home/ubuntu/OpenSearch/modules/reindex/src/main/java/org/opensearch/index/reindex/RestRethrottleAction.java	60
planned	POST	/_delete_by_query/{taskId}/_rethrottle	/home/ubuntu/OpenSearch/modules/reindex/src/main/java/org/opensearch/index/reindex/RestRethrottleAction.java	61
planned	POST	/_reindex/{taskId}/_rethrottle	/home/ubuntu/OpenSearch/modules/reindex/src/main/java/org/opensearch/index/reindex/RestRethrottleAction.java	62
planned	POST	/{index}/_update_by_query	/home/ubuntu/OpenSearch/modules/reindex/src/main/java/org/opensearch/index/reindex/RestUpdateByQueryAction.java	58
out-of-scope	GET	/_flight/stats	/home/ubuntu/OpenSearch/plugins/arrow-flight-rpc/src/main/java/org/opensearch/arrow/flight/stats/FlightStatsRestHandler.java	39
out-of-scope	GET	/_flight/stats/{nodeId}	/home/ubuntu/OpenSearch/plugins/arrow-flight-rpc/src/main/java/org/opensearch/arrow/flight/stats/FlightStatsRestHandler.java	40
out-of-scope	GET	/_nodes/flight/stats	/home/ubuntu/OpenSearch/plugins/arrow-flight-rpc/src/main/java/org/opensearch/arrow/flight/stats/FlightStatsRestHandler.java	41
out-of-scope	GET	/_nodes/{nodeId}/flight/stats	/home/ubuntu/OpenSearch/plugins/arrow-flight-rpc/src/main/java/org/opensearch/arrow/flight/stats/FlightStatsRestHandler.java	42
out-of-scope	GET	/_cat/example	/home/ubuntu/OpenSearch/plugins/examples/rest-handler/src/main/java/org/opensearch/example/resthandler/ExampleCatAction.java	60
out-of-scope	POST	/_cat/example	/home/ubuntu/OpenSearch/plugins/examples/rest-handler/src/main/java/org/opensearch/example/resthandler/ExampleCatAction.java	60
out-of-scope	PUT	/_steelsearch/persistent_task/{task_id}	/home/ubuntu/OpenSearch/plugins/persistent-task-live-fixture/src/main/java/org/opensearch/example/persistenttask/RestPersistentTaskLiveFixtureAction.java	38
out-of-scope	DELETE	/_steelsearch/persistent_task/{task_id}	/home/ubuntu/OpenSearch/plugins/persistent-task-live-fixture/src/main/java/org/opensearch/example/persistenttask/RestPersistentTaskLiveFixtureAction.java	39
out-of-scope	POST	/test/_stream	/home/ubuntu/OpenSearch/plugins/transport-reactor-netty4/src/internalClusterTest/java/org/opensearch/http/reactor/netty4/ReactorNetty4StreamingTracingIT.java	100
out-of-scope	POST	_wlm/workload_group/	/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestCreateWorkloadGroupAction.java	59
out-of-scope	PUT	_wlm/workload_group/	/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestCreateWorkloadGroupAction.java	59
out-of-scope	DELETE	_wlm/workload_group/{name}	/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestDeleteWorkloadGroupAction.java	51
out-of-scope	GET	_wlm/workload_group/	/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestGetWorkloadGroupAction.java	51
out-of-scope	GET	_wlm/workload_group/{name}	/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestGetWorkloadGroupAction.java	51
out-of-scope	POST	_wlm/workload_group/{name}	/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestUpdateWorkloadGroupAction.java	59
out-of-scope	PUT	_wlm/workload_group/{name}	/home/ubuntu/OpenSearch/plugins/workload-management/src/main/java/org/opensearch/plugin/wlm/rest/RestUpdateWorkloadGroupAction.java	59
planned	GET	/_field_caps	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestFieldCapabilitiesAction.java	61
planned	POST	/_field_caps	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestFieldCapabilitiesAction.java	62
planned	GET	/{index}/_field_caps	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestFieldCapabilitiesAction.java	63
planned	POST	/{index}/_field_caps	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestFieldCapabilitiesAction.java	64
implemented	GET	/	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestMainAction.java	63
implemented	HEAD	/	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/RestMainAction.java	63
planned	POST	/_cluster/voting_config_exclusions	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestAddVotingConfigExclusionAction.java	75
planned	POST	/_tasks/_cancel	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCancelTasksAction.java	71
planned	POST	/_tasks/{task_id}/_cancel	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCancelTasksAction.java	71
planned	POST	/_snapshot/{repository}/_cleanup	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCleanupRepositoryAction.java	60
planned	DELETE	/_cluster/voting_config_exclusions	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClearVotingConfigExclusionsAction.java	57
planned	PUT	/_snapshot/{repository}/{snapshot}/_clone/{target_snapshot}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCloneSnapshotAction.java	62
planned	GET	/_cluster/allocation/explain	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterAllocationExplainAction.java	65
planned	POST	/_cluster/allocation/explain	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterAllocationExplainAction.java	65
planned	DELETE	/_cluster/routing/awareness/weights	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterDeleteWeightedRoutingAction.java	41
planned	DELETE	/_cluster/routing/awareness/{attribute}/weights	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterDeleteWeightedRoutingAction.java	42
planned	GET	/_cluster/settings	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterGetSettingsAction.java	82
planned	GET	/_cluster/routing/awareness/{attribute}/weights	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterGetWeightedRoutingAction.java	38
stubbed	GET	/_cluster/health	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterHealthAction.java	69
planned	GET	/_cluster/health/{index}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterHealthAction.java	69
planned	PUT	/_cluster/routing/awareness/{attribute}/weights	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterPutWeightedRoutingAction.java	38
planned	POST	/_cluster/reroute	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterRerouteAction.java	95
planned	GET	/_search_shards	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	64
planned	POST	/_search_shards	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	65
planned	GET	/{index}/_search_shards	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	66
planned	POST	/{index}/_search_shards	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterSearchShardsAction.java	67
planned	GET	/_cluster/state	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStateAction.java	95
planned	GET	/_cluster/state/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStateAction.java	96
planned	GET	/_cluster/state/{metric}/{indices}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStateAction.java	97
planned	GET	/_cluster/stats	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	70
planned	GET	/_cluster/stats/nodes/{nodeId}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	71
planned	GET	/_cluster/stats/{metric}/nodes/{nodeId}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	72
planned	GET	/_cluster/stats/{metric}/{index_metric}/nodes/{nodeId}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterStatsAction.java	73
planned	PUT	/_cluster/settings	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestClusterUpdateSettingsAction.java	67
planned	POST	/_snapshot/{repository}/{snapshot}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCreateSnapshotAction.java	63
planned	PUT	/_snapshot/{repository}/{snapshot}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestCreateSnapshotAction.java	63
planned	PUT	/_cluster/decommission/awareness/{awareness_attribute_name}/{awareness_attribute_value}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDecommissionAction.java	35
planned	DELETE	/_cluster/decommission/awareness	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteDecommissionStateAction.java	33
planned	DELETE	/_snapshot/{repository}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteRepositoryAction.java	60
planned	DELETE	/_snapshot/{repository}/{snapshot}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteSnapshotAction.java	61
planned	DELETE	/_scripts/{id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestDeleteStoredScriptAction.java	58
planned	GET	/_cluster/decommission/awareness/{awareness_attribute_name}/_status	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetDecommissionStateAction.java	33
planned	GET	/_snapshot	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetRepositoriesAction.java	76
planned	GET	/_snapshot/{repository}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetRepositoriesAction.java	76
planned	GET	/_script_context	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetScriptContextAction.java	57
planned	GET	/_script_language	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetScriptLanguageAction.java	57
planned	GET	/_snapshot/{repository}/{snapshot}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetSnapshotsAction.java	61
planned	GET	/_scripts/{id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetStoredScriptAction.java	58
planned	GET	/_tasks/{task_id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestGetTaskAction.java	58
planned	GET	/_tasks	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestListTasksAction.java	75
planned	GET	/_nodes/hot_threads	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesHotThreadsAction.java	114
planned	GET	/_nodes/{nodeId}/hot_threads	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesHotThreadsAction.java	114
planned	GET	/_nodes	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	71
planned	GET	/_nodes/{nodeId}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	73
planned	GET	/_nodes/{nodeId}/{metrics}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	74
planned	GET	/_nodes/{nodeId}/info/{metrics}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesInfoAction.java	76
planned	GET	/_nodes/stats	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	70
planned	GET	/_nodes/{nodeId}/stats	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	71
planned	GET	/_nodes/stats/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	72
planned	GET	/_nodes/{nodeId}/stats/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	73
planned	GET	/_nodes/stats/{metric}/{index_metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	74
planned	GET	/_nodes/{nodeId}/stats/{metric}/{index_metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesStatsAction.java	75
planned	GET	/_nodes/usage	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	68
planned	GET	/_nodes/{nodeId}/usage	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	69
planned	GET	/_nodes/usage/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	70
planned	GET	/_nodes/{nodeId}/usage/{metric}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestNodesUsageAction.java	71
planned	GET	/_cluster/pending_tasks	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPendingClusterTasksAction.java	59
planned	POST	/_filecache/prune	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPruneCacheAction.java	36
planned	POST	/_snapshot/{repository}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutRepositoryAction.java	63
planned	PUT	/_snapshot/{repository}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutRepositoryAction.java	63
planned	POST	/_scripts/{id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	65
planned	PUT	/_scripts/{id}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	66
planned	POST	/_scripts/{id}/{context}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	67
planned	PUT	/_scripts/{id}/{context}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestPutStoredScriptAction.java	68
planned	POST	/_nodes/reload_secure_settings	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestReloadSecureSettingsAction.java	89
planned	POST	/_nodes/{nodeId}/reload_secure_settings	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestReloadSecureSettingsAction.java	89
planned	GET	/_remote/info	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteClusterInfoAction.java	56
planned	GET	/_remotestore/metadata/{index}	/home/ubuntu/OpenSearch/server/src/main/java/org/opensearch/rest/action/admin/cluster/RestRemoteStoreMetadataAction.java	34
